% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),Listo? (no considerar),Pendiente (no considerar),
90%,15. Ciudad y Espacios públicos,75%,Creación de infraestructura comunitaria,"Construir infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",75%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Fomentar la participación social en el territorio en las temáticas cultural, social y deportiva. Definir las actividades y programas que requieren las comunidades.",5%,4%,38%,,15.57,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Creación de infraestructura comunitaria,"Construir infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",75%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Elaboración de un plan de prioridades de creación de infraestructura comunitaria en los ámbitos social, cultural y deportivo.",5%,4%,42%,,15.58,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Creación de infraestructura comunitaria,"Construir infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",75%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Postulación de los proyectos a financiamiento, aprobación técnica y financiera",10%,6%,48%,,15.59,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Creación de infraestructura comunitaria,"Construir infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",75%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Creación de infraestructura comunitaria en el ámbito social (Villa navidad, Jardines 2, Juan Nieto, etc.)",10%,8%,56%,,15.60,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Creación de infraestructura comunitaria,"Construir infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",75%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Creación de infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario",10%,8%,64%,,15.61,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Creación de infraestructura comunitaria,"Construir infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",75%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Creación de infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca, otros",10%,3%,67%,,15.62,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Creación de infraestructura comunitaria,"Construir infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",75%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)",Creación de infraestructura comunitaria con cargo municipal,10%,5%,72%,,15.63,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Creación de infraestructura comunitaria,"Construir infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",75%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)",Puesta en marcha de la nueva infraestructura con organizaciones comunitarias,5%,3%,75%,,15.64,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)",Catastro del estado de la infraestructura comunitaria existente,5%,5%,5%,1,15.65,15,revisar resultado,,76%
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Catastro del estado de las comunidades que administran los recintos (vigencia de organizaciones, comodatos, dominios) y de su validación comunitaria",5%,4%,9%,,15.66,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Definición del estándar básico de la reparación comunitaria, tanto en la infraestructura como en la participación de las comunidades",5%,4%,13%,,15.67,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Plan piloto de reparación de infraestructura comunitaria, escogiendo un  barrio con baja participación ",5%,5%,18%,,15.68,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)",Solicitud de transferencia a dominio municipal de espacios de Uso Público y gestiones para invertir en su recuperación (ante SERVIU y Bienes Nacionales).,5%,4%,22%,,15.69,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Definir programa arquitectónico, superficies y dimensiones óptimas de la infraestructura",5%,4%,26%,,15.70,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Definir y valorizar las obras de reparación y su fuente de financiamiento y ejecución (fondo municipal, otros fondos públicos y privados). ",5%,4%,30%,,15.71,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Fomentar la participación social en el territorio en las temáticas cultural, social y deportiva. Definir las actividades y programas que requieren las comunidades.",5%,4%,34%,,15.72,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Elaboración de un plan de prioridades de reparación de infraestructura comunitaria en los ámbitos social, cultural y deportivo.",5%,5%,39%,,15.73,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Postulación de los proyectos a financiamiento, aprobación técnica y financiera",10%,7%,46%,,15.74,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Reparaciones de infraestructura comunitaria en el ámbito social (Villa navidad, jardines 2, Juan Nieto, Centro Podológico, Espacio Mujer, etc.)",10%,8%,54%,,15.75,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Reparaciones de infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario, Centro Tenis de Mesa, etc.",10%,8%,62%,,15.76,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)","Reparaciones de infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca, otros",10%,3%,65%,,15.77,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)",Reparación de infraestructura comunitaria con cargo Municipal,10%,8%,73%,,15.78,15,revisar resultado,,
90%,15. Ciudad y Espacios públicos,75%,Reparación de infraestructura comunitaria y deportiva,"Reparar infraestructura comunitaria, promoviendo la articulación y participación de las comunidades y acercando el municipio a los territorios.",76%,"Durante el periodo se ha creado y reparado infraestructura comunitaria, tales como:
- Reparación y habilitación del Espacio Mujeres y Centro Podológico
- Infraestructura comunitaria en el ámbito deportivo: Venecia, El Huasco; AS. Futbol El Pinar, San Joaquín oriente; Pirámide, Lautaro, MelinKa, Comunidad en Acción, Campus Universitario
- Infraestructura comunitaria en el ámbito cultural: centro Cultural mediateca
- Creación y reparación de juntas de vecinos y sedes comunitarias (Villa navidad, Jardines 2, Juan Nieto, entre otros)",Habilitación de infraestructura comunitaria recuperada.,5%,3%,76%,,15.79,15,revisar resultado,,
90%,16. Transparencia y modernización municipal,92%,Realizar auditoría a la gestión financiera del Municipio,Realizar la primera auditoria municipal a la gestión financiera del Municipio en 28 años ,100%,"Durante el año 2022 se realizó la primera auditoria municipal en 28 años, con el fin de revisar la información correspondiente a la ejecución presupuestaria durante el periodo 2017 hasta junio de 2021. Dicha auditoria puede ser revisada en el portal de transparencia activa del Municipio: https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU291",Elaboración de las bases administrativas y técnicas para la realización de la auditoría municipal,20%,20%,20%,1,16.1,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Realizar auditoría a la gestión financiera del Municipio,Realizar la primera auditoria municipal a la gestión financiera del Municipio en 28 años ,100%,"Durante el año 2022 se realizó la primera auditoria municipal en 28 años, con el fin de revisar la información correspondiente a la ejecución presupuestaria durante el periodo 2017 hasta junio de 2021. Dicha auditoria puede ser revisada en el portal de transparencia activa del Municipio: https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU291",Publicación de la licitación en Mercado Público,10%,10%,30%,,16.2,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Realizar auditoría a la gestión financiera del Municipio,Realizar la primera auditoria municipal a la gestión financiera del Municipio en 28 años ,100%,"Durante el año 2022 se realizó la primera auditoria municipal en 28 años, con el fin de revisar la información correspondiente a la ejecución presupuestaria durante el periodo 2017 hasta junio de 2021. Dicha auditoria puede ser revisada en el portal de transparencia activa del Municipio: https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU291",Adjudicación y firma de contrato con la empresa seleccionada,5%,5%,35%,,16.3,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Realizar auditoría a la gestión financiera del Municipio,Realizar la primera auditoria municipal a la gestión financiera del Municipio en 28 años ,100%,"Durante el año 2022 se realizó la primera auditoria municipal en 28 años, con el fin de revisar la información correspondiente a la ejecución presupuestaria durante el periodo 2017 hasta junio de 2021. Dicha auditoria puede ser revisada en el portal de transparencia activa del Municipio: https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU291",Ejecución de la auditoría y recepción del informe con los resultados,25%,25%,60%,,16.4,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Realizar auditoría a la gestión financiera del Municipio,Realizar la primera auditoria municipal a la gestión financiera del Municipio en 28 años ,100%,"Durante el año 2022 se realizó la primera auditoria municipal en 28 años, con el fin de revisar la información correspondiente a la ejecución presupuestaria durante el periodo 2017 hasta junio de 2021. Dicha auditoria puede ser revisada en el portal de transparencia activa del Municipio: https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU291",Exposición al Concejo de los resultados expuestos en el informe,20%,20%,80%,,16.5,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Realizar auditoría a la gestión financiera del Municipio,Realizar la primera auditoria municipal a la gestión financiera del Municipio en 28 años ,100%,"Durante el año 2022 se realizó la primera auditoria municipal en 28 años, con el fin de revisar la información correspondiente a la ejecución presupuestaria durante el periodo 2017 hasta junio de 2021. Dicha auditoria puede ser revisada en el portal de transparencia activa del Municipio: https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU291",Publicación del informe de resultados de la auditoría en la página web municipal,20%,20%,100%,,16.6,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Concejo en tu barrio,"Realizar sesiones del Concejo Municipal en sedes vecinales, acercando el Municipio a los barrios y fortaleciendo la participación y fiscalización ciudadana. ",100%,"Anualmente se realiza al menos una sesión del Concejo Municipal en cada territorio. Durante 2023, las sesiones del ""Concejo en tu barrio"" se realizaron entre abril y noviembre en: Sede comunitaria Chaiten (territorio 7), Junta de Vecinos Villa la Unión (territorio 5), Junta de Vecinos El Pinar (territorio 3), Junta de Vecinos Madeco Mademsa (territorio 4), Bomba Las Industrias (territorio 7), Centro Comunitario San Gregorio (territorio 2), Junta de Vecinos Bruno Neff (territorio 6) y Junta de Vecinos Pacífico Rivas 3 y 4 (territorio 1)",Coordinación con Juntas de Vecinos y Clubes Deportivos en los territorios para evaluar sedes donde sesionar,10%,10%,10%,1,16.7,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Concejo en tu barrio,"Realizar sesiones del Concejo Municipal en sedes vecinales, acercando el Municipio a los barrios y fortaleciendo la participación y fiscalización ciudadana. ",100%,"Anualmente se realiza al menos una sesión del Concejo Municipal en cada territorio. Durante 2023, las sesiones del ""Concejo en tu barrio"" se realizaron entre abril y noviembre en: Sede comunitaria Chaiten (territorio 7), Junta de Vecinos Villa la Unión (territorio 5), Junta de Vecinos El Pinar (territorio 3), Junta de Vecinos Madeco Mademsa (territorio 4), Bomba Las Industrias (territorio 7), Centro Comunitario San Gregorio (territorio 2), Junta de Vecinos Bruno Neff (territorio 6) y Junta de Vecinos Pacífico Rivas 3 y 4 (territorio 1)",Visitas técnicas a sedes para definir lugares donde sesionar,5%,5%,15%,,16.8,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Concejo en tu barrio,"Realizar sesiones del Concejo Municipal en sedes vecinales, acercando el Municipio a los barrios y fortaleciendo la participación y fiscalización ciudadana. ",100%,"Anualmente se realiza al menos una sesión del Concejo Municipal en cada territorio. Durante 2023, las sesiones del ""Concejo en tu barrio"" se realizaron entre abril y noviembre en: Sede comunitaria Chaiten (territorio 7), Junta de Vecinos Villa la Unión (territorio 5), Junta de Vecinos El Pinar (territorio 3), Junta de Vecinos Madeco Mademsa (territorio 4), Bomba Las Industrias (territorio 7), Centro Comunitario San Gregorio (territorio 2), Junta de Vecinos Bruno Neff (territorio 6) y Junta de Vecinos Pacífico Rivas 3 y 4 (territorio 1)",Aprobación de fechas y lugares en Concejo Municipal,15%,15%,30%,,16.9,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Concejo en tu barrio,"Realizar sesiones del Concejo Municipal en sedes vecinales, acercando el Municipio a los barrios y fortaleciendo la participación y fiscalización ciudadana. ",100%,"Anualmente se realiza al menos una sesión del Concejo Municipal en cada territorio. Durante 2023, las sesiones del ""Concejo en tu barrio"" se realizaron entre abril y noviembre en: Sede comunitaria Chaiten (territorio 7), Junta de Vecinos Villa la Unión (territorio 5), Junta de Vecinos El Pinar (territorio 3), Junta de Vecinos Madeco Mademsa (territorio 4), Bomba Las Industrias (territorio 7), Centro Comunitario San Gregorio (territorio 2), Junta de Vecinos Bruno Neff (territorio 6) y Junta de Vecinos Pacífico Rivas 3 y 4 (territorio 1)",Licitación para mobiliario y equipos que se requieran para las sesiones en los territorios,5%,5%,35%,,16.10,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Concejo en tu barrio,"Realizar sesiones del Concejo Municipal en sedes vecinales, acercando el Municipio a los barrios y fortaleciendo la participación y fiscalización ciudadana. ",100%,"Anualmente se realiza al menos una sesión del Concejo Municipal en cada territorio. Durante 2023, las sesiones del ""Concejo en tu barrio"" se realizaron entre abril y noviembre en: Sede comunitaria Chaiten (territorio 7), Junta de Vecinos Villa la Unión (territorio 5), Junta de Vecinos El Pinar (territorio 3), Junta de Vecinos Madeco Mademsa (territorio 4), Bomba Las Industrias (territorio 7), Centro Comunitario San Gregorio (territorio 2), Junta de Vecinos Bruno Neff (territorio 6) y Junta de Vecinos Pacífico Rivas 3 y 4 (territorio 1)",Compra de alimentos y bebestibles para sesiones del Concejo en los territorios,10%,10%,45%,,16.11,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Concejo en tu barrio,"Realizar sesiones del Concejo Municipal en sedes vecinales, acercando el Municipio a los barrios y fortaleciendo la participación y fiscalización ciudadana. ",100%,"Anualmente se realiza al menos una sesión del Concejo Municipal en cada territorio. Durante 2023, las sesiones del ""Concejo en tu barrio"" se realizaron entre abril y noviembre en: Sede comunitaria Chaiten (territorio 7), Junta de Vecinos Villa la Unión (territorio 5), Junta de Vecinos El Pinar (territorio 3), Junta de Vecinos Madeco Mademsa (territorio 4), Bomba Las Industrias (territorio 7), Centro Comunitario San Gregorio (territorio 2), Junta de Vecinos Bruno Neff (territorio 6) y Junta de Vecinos Pacífico Rivas 3 y 4 (territorio 1)",Invitación a Junta de Vecinos del territorio a sesionar y difusión de la actividad,15%,15%,60%,,16.12,16,Si,,
